Call Letters,Frequency,Station Name,Brand,Format,Town,Province,Website,Stream URL
CKLP,103.3,103.3 Moose FM,Moose FM,Variety Hits,Parry Sound,ON,https://www.myparrysoundnow.com,https://vistaradio.streamb.live/SB00114?args=web_01
CFZN,93.5,93.5 Moose FM,Moose FM,Variety Hits,Haliburton,ON,https://www.myhaliburtonnow.com,https://vistaradio.streamb.live/SB00113?args=web_01
CHGK,107.7,107.7 2Day FM,2Day FM,Hot AC,Stratford,ON,https://www.mystratfordnow.com,https://vistaradio.streamb.live/SB00106?args=web_01
CJCS,107.1,107.1 CJCS,CJCS,Classic Hits,Stratford,ON,https://www.mystratfordnow.com,https://vistaradio.streamb.live/SB00107?args=web_01
CHMS,97.7,97.7 Moose FM,Moose FM,Variety Hits,Bancroft,ON,https://www.mybancroftnow.com,https://vistaradio.streamb.live/SB00110?args=web_01
CKVV,97.5,97.5 Moose FM,Moose FM,Variety Hits,Kemptville,ON,https://www.mykemptvillenow.com,https://vistaradio.streamb.live/SB00108?args=web_01
CHBY,106.5,106.5 Moose FM,Moose FM,Variety Hits,Barry's Bay,BC,https://www.mybarrysbaynow.com,https://vistaradio.streamb.live/SB00109?args=web_01
CKPP,107.9,107.9 Moose FM,Moose FM,Variety Hits,Prescott,ON,https://www.myprescottnow.com,https://vistaradio.streamb.live/SB0011?args=web_011
CHSU,99.9,99.9 Sun FM,Sun FM,Top 40,Kelowna,BC,https://www.myktownnow.com,https://vistaradio.streamb.live/SB00397?args=web_01
CILK,101.5,101.5 GO FM,GO FM,Hot AC,Kelowna,BC,https://www.myktownnow.com,https://vistaradio.streamb.live/SB00398?args=web_01
CKFR,1150,AM 1150,AM 1150,News Talk,Kelowna,BC,https://www.am1150.ca,https://vistaradio.streamb.live/SB00399?args=web_01
CKGR,106.3,106.3 Summit FM,Summit,Classic Hits,Golden,BC,https://www.myrogerspassnow.com,https://vistaradio.streamb.live/SB00390?args=web_01
CKXR,91.5,91.5 Summit FM,Summit,Classic Hits,Salmon Arm,ON,https://www.myshuswapnow.com,https://vistaradio.streamb.live/SB00391?args=web_01
CKCR,106.1,106.1 Summit FM,Summit,Classic Hits,Revelstoke,BC,https://www.myrogerspassnow.com,https://vistaradio.streamb.live/SB00392?args=web_01
CICF,105.7,105.7 The Ranch,The Ranch,Country,Vernon,ON,https://www.mynorthokanagannow.com,https://vistaradio.streamb.live/SB00396?args=web_01
